DDI-DrugBank.d345.s11.p11,;,penicillin G,;,colestipol hydrochloride,;,penicillin,;,colestipol,;,7,;,"gemfibrozil|significantli|decreas|given|simultan",;,"absorpt",;,"",;,"gemfibrozil",;,"",;,mechanism
DDI-DrugBank.d210.s2.p0,;,VIOXX,;,ACE inhibitors,;,VIOXX,;,ACE,;,1,;,"concomitantli",;,"interact|given|consider",;,"",;,"",;,"",;,advise
DDI-DrugBank.d450.s3.p8,;,clarithromycin,;,digoxin,;,clarithromycin,;,digoxin,;,7,;,"possibl|macrolid|may|increas",;,"",;,"absorpt|patient|inactiv",;,"macrolid",;,"",;,mechanism
DDI-DrugBank.d60.s12.p16,;,NIMBEX,;,aminoglycosides,;,NIMBEX,;,aminoglycosides,;,5,;,"includ|certain|antibiot",;,"drug|may|enhanc",;,"sodium|magnesium|local",;,"antibiot",;,"",;,effect
DDI-DrugBank.d314.s8.p2,;,corticosteroids,;,antidiabetic agents,;,corticosteroids,;,antidiabetic,;,7,;,"may|increas|blood|glucos|dosag|adjust",;,"",;,"may",;,"blood|glucos|dosag|adjust",;,"",;,effect
DDI-DrugBank.d450.s3.p3,;,Erythromycin,;,digoxin,;,Erythromycin,;,digoxin,;,8,;,"clarithromycin|possibl|macrolid|may|increas",;,"",;,"absorpt|patient|inactiv",;,"macrolid",;,"",;,mechanism
DDI-DrugBank.d66.s2.p3,;,L-glutamine,;,indomethacin,;,L-glutamine,;,indomethacin,;,0,;,"",;,"use",;,"may|amelior|increas",;,"",;,"",;,effect
DDI-DrugBank.d476.s1.p1,;,reserpine,;,ZEBETA,;,reserpine,;,ZEBETA,;,7,;,"close|ad|block|action",;,"receiv",;,"may|produc|excess",;,"block|action",;,"",;,effect
DDI-DrugBank.d476.s1.p2,;,guanethidine,;,ZEBETA,;,guanethidine,;,ZEBETA,;,7,;,"close|ad|block|action",;,"receiv",;,"may|produc|excess",;,"block|action",;,"",;,effect
DDI-MedLine.d53.s4.p0,;,TAM,;,1,25(OH)2D3,;,TAM,;,1,25(OH)2D3,;,6,;,"significantli|potenti|reduct|cell|number|induc",;,"data|suggest",;,"3",;,"reduct|cell|number",;,"",;,effect
DDI-DrugBank.d98.s5.p0,;,thiazides,;,vitamin D,;,thiazides,;,vitamin,;,0,;,"",;,"report|shown|concomit",;,"caus",;,"",;,"",;,effect
DDI-DrugBank.d132.s25.p5,;,diflunisal,;,aspirin,;,diflunisal,;,aspirin,;,0,;,"",;,"normal|small|decreas",;,"administ",;,"",;,"",;,mechanism
DDI-DrugBank.d353.s8.p2,;,methotrexate,;,etretinate,;,methotrexate,;,etretinate,;,0,;,"",;,"increas|risk|hepat",;,"",;,"",;,"",;,effect
DDI-DrugBank.d345.s11.p14,;,gemfibrozil,;,colestipol hydrochloride,;,gemfibrozil,;,colestipol,;,4,;,"significantli|decreas|given|simultan",;,"absorpt|penicillin",;,"",;,"",;,"",;,mechanism
DDI-DrugBank.d459.s0.p4,;,ENABLEX,;,clarithromycin,;,ENABLEX,;,clarithromycin,;,12,;,"exceed|mg|coadminist|potent|inhibitor",;,"daili|dose",;,"",;,"mg|potent|inhibitor",;,"",;,advise
DDI-DrugBank.d459.s0.p2,;,ENABLEX,;,ritonavir,;,ENABLEX,;,ritonavir,;,10,;,"exceed|mg|coadminist|potent|inhibitor",;,"daili|dose",;,"clarithromycin",;,"mg|potent|inhibitor",;,"",;,advise
DDI-DrugBank.d459.s0.p3,;,ENABLEX,;,nelfinavir,;,ENABLEX,;,nelfinavir,;,11,;,"exceed|mg|coadminist|potent|inhibitor",;,"daili|dose",;,"clarithromycin",;,"mg|potent|inhibitor",;,"",;,advise
