DDI-DrugBank.d345.s11.p11,;,penicillin G,;,colestipol hydrochloride,;,penicillin,;,colestipol,;,7,;,"gemfibrozil|significantli|decreas|given|simultan",;,"absorpt",;,"",;,"gemfibrozil",;,"",;,mechanism
DDI-DrugBank.d210.s2.p0,;,VIOXX,;,ACE inhibitors,;,VIOXX,;,ACE,;,1,;,"concomitantli",;,"interact|given|consider",;,"",;,"",;,"",;,advise
DDI-DrugBank.d450.s3.p8,;,clarithromycin,;,digoxin,;,clarithromycin,;,digoxin,;,7,;,"possibl|macrolid|may|increas",;,"",;,"absorpt|patient|inactiv",;,"macrolid",;,"",;,mechanism
DDI-DrugBank.d60.s12.p16,;,NIMBEX,;,aminoglycosides,;,NIMBEX,;,aminoglycosides,;,5,;,"includ|certain|antibiot",;,"drug|may|enhanc",;,"sodium|magnesium|local",;,"antibiot",;,"",;,effect
DDI-DrugBank.d314.s8.p2,;,corticosteroids,;,antidiabetic agents,;,corticosteroids,;,antidiabetic,;,7,;,"may|increas|blood|glucos|dosag|adjust",;,"",;,"may",;,"blood|glucos|dosag|adjust",;,"",;,effect
DDI-DrugBank.d450.s3.p3,;,Erythromycin,;,digoxin,;,Erythromycin,;,digoxin,;,8,;,"clarithromycin|possibl|macrolid|may|increas",;,"",;,"absorpt|patient|inactiv",;,"macrolid",;,"",;,mechanism
DDI-DrugBank.d66.s2.p3,;,L-glutamine,;,indomethacin,;,L-glutamine,;,indomethacin,;,0,;,"",;,"use",;,"may|amelior|increas",;,"",;,"",;,effect
DDI-DrugBank.d476.s1.p1,;,reserpine,;,ZEBETA,;,reserpine,;,ZEBETA,;,7,;,"close|ad|block|action",;,"receiv",;,"may|produc|excess",;,"block|action",;,"",;,effect
DDI-DrugBank.d476.s1.p2,;,guanethidine,;,ZEBETA,;,guanethidine,;,ZEBETA,;,7,;,"close|ad|block|action",;,"receiv",;,"may|produc|excess",;,"block|action",;,"",;,effect
DDI-MedLine.d53.s4.p0,;,TAM,;,1,25(OH)2D3,;,TAM,;,1,25(OH)2D3,;,6,;,"significantli|potenti|reduct|cell|number|induc",;,"data|suggest",;,"3",;,"reduct|cell|number",;,"",;,effect
DDI-DrugBank.d98.s5.p0,;,thiazides,;,vitamin D,;,thiazides,;,vitamin,;,0,;,"",;,"report|shown|concomit",;,"caus",;,"",;,"",;,effect
